Name	Group	Study
ALH94	LA	Study1
ALH95	LA	Study1
ALH96	LA	Study1
CHH1	HH	Study2
CHH10	HH	Study2
CHH11	HH	Study2
CHH12	HH	Study2
CHH13	HH	Study2
CHH14	HH	Study2
CHH15	HH	Study2
CHH16	HH	Study2
CHH17	HH	Study2
CHH18	HH	Study2
CHH19	HH	Study2
CHH2	HH	Study2
CHH20	HH	Study2
CHH3	HH	Study2
CHH4	HH	Study2
CHH5	HH	Study2
CHH6	HH	Study2
CHH7	HH	Study2
CHH8	HH	Study2
CHH9	HH	Study2
GLH10	LA	Study4
GLH12	LA	Study4
GLH13	LA	Study4
GLH15	LA	Study4
GLH16	LA	Study4
GLH17	LA	Study4
GLH18	LA	Study4
GLH21	LA	Study4
GLH22	LA	Study4
GLH23	LA	Study4
GLH24	LA	Study4
GLH25	LA	Study4
GLH26	LA	Study4
GLH27	LA	Study4
GLH28	LA	Study4
GLH29	LA	Study4
GLH30	LA	Study4
GLH31	LA	Study4
GLH32	LA	Study4
GLH33	LA	Study4
GLH34	LA	Study4
GLH35	LA	Study4
GLH36	LA	Study4
GLH37	LA	Study4
GLH38	LA	Study4
GLH39	LA	Study4
GLH40	LA	Study4
GLH41	LA	Study4
GLH43	LA	Study4
GLH44	LA	Study4
GLH45	LA	Study4
GLH46	LA	Study4
GLH47	LA	Study4
GLH48	LA	Study4
GLH49	LA	Study4
GLH50	LA	Study4
GLH51	LA	Study4
GLH52	LA	Study4
GLH53	LA	Study4
GLH55	LA	Study4
GLH56	LA	Study4
GLH57	LA	Study4
GLH58	LA	Study4
GLH59	LA	Study4
GLH61	LA	Study4
GLH62	LA	Study4
GLH63	LA	Study4
GLH64	LA	Study4
GLH65	LA	Study4
GLH66	LA	Study4
GLH68	LA	Study4
GLH69	LA	Study4
GLH7	LA	Study4
GLH71	LA	Study4
GLH73	LA	Study4
GLH74	LA	Study4
GLH76	LA	Study4
GLH77	LA	Study4
GLH79	LA	Study4
GLH8	LA	Study4
GLH80	LA	Study4
GLH81	LA	Study4
GLH82	LA	Study4
GLH84	LA	Study4
GLH85	LA	Study4
GLH87	LA	Study4
GLH88	LA	Study4
GLH89	LA	Study4
GLH90	LA	Study4
GLH91	LA	Study4
GLH92	LA	Study4
GLH94	LA	Study4
GLH95	LA	Study4
HHH1	HH	Study5
HHH10	HH	Study5
HHH11	HH	Study5
HHH12	HH	Study5
HHH13	HH	Study5
HHH14	HH	Study5
HHH15	HH	Study5
HHH16	HH	Study5
HHH17	HH	Study5
HHH18	HH	Study5
HHH19	HH	Study5
HHH2	HH	Study5
HHH20	HH	Study5
HHH21	HH	Study5
HHH22	HH	Study5
HHH23	HH	Study5
HHH24	HH	Study5
HHH25	HH	Study5
HHH26	HH	Study5
HHH27	HH	Study5
HHH28	HH	Study5
HHH29	HH	Study5
HHH3	HH	Study5
HHH30	HH	Study5
HHH31	HH	Study5
HHH32	HH	Study5
HHH33	HH	Study5
HHH34	HH	Study5
HHH35	HH	Study5
HHH4	HH	Study5
HHH5	HH	Study5
HHH6	HH	Study5
HHH7	HH	Study5
HHH8	HH	Study5
HHH9	HH	Study5
HLH1	LA	Study5
HLH10	LA	Study5
HLH11	LA	Study5
HLH12	LA	Study5
HLH13	LA	Study5
HLH14	LA	Study5
HLH15	LA	Study5
HLH16	LA	Study5
HLH17	LA	Study5
HLH18	LA	Study5
HLH19	LA	Study5
HLH2	LA	Study5
HLH20	LA	Study5
HLH21	LA	Study5
HLH22	LA	Study5
HLH23	LA	Study5
HLH24	LA	Study5
HLH25	LA	Study5
HLH26	LA	Study5
HLH27	LA	Study5
HLH28	LA	Study5
HLH29	LA	Study5
HLH3	LA	Study5
HLH30	LA	Study5
HLH31	LA	Study5
HLH32	LA	Study5
HLH33	LA	Study5
HLH34	LA	Study5
HLH35	LA	Study5
HLH4	LA	Study5
HLH5	LA	Study5
HLH6	LA	Study5
HLH7	LA	Study5
HLH8	LA	Study5
HLH9	LA	Study5
ILH1	LA	Study6
ILH10	LA	Study6
ILH11	LA	Study6
ILH12	LA	Study6
ILH13	LA	Study6
ILH14	LA	Study6
ILH15	LA	Study6
ILH16	LA	Study6
ILH17	LA	Study6
ILH18	LA	Study6
ILH19	LA	Study6
ILH2	LA	Study6
ILH20	LA	Study6
ILH21	LA	Study6
ILH24	LA	Study6
ILH25	LA	Study6
ILH26	LA	Study6
ILH27	LA	Study6
ILH28	LA	Study6
ILH29	LA	Study6
ILH3	LA	Study6
ILH30	LA	Study6
ILH31	LA	Study6
ILH33	LA	Study6
ILH34	LA	Study6
ILH35	LA	Study6
ILH36	LA	Study6
ILH37	LA	Study6
ILH38	LA	Study6
ILH39	LA	Study6
ILH4	LA	Study6
ILH40	LA	Study6
ILH42	LA	Study6
ILH43	LA	Study6
ILH5	LA	Study6
ILH6	LA	Study6
ILH7	LA	Study6
ILH8	LA	Study6
ILH9	LA	Study6
