#OTU ID	Group	Study
ALH11	LA	Study1
ALH12	LA	Study1
ALH13	LA	Study1
ALH14	LA	Study1
ALH15	LA	Study1
ALH16	LA	Study1
ALH17	LA	Study1
ALH18	LA	Study1
ALH19	LA	Study1
ALH2	LA	Study1
ALH20	LA	Study1
ALH21	LA	Study1
ALH22	LA	Study1
ALH23	LA	Study1
ALH24	LA	Study1
ALH25	LA	Study1
ALH26	LA	Study1
ALH27	LA	Study1
ALH28	LA	Study1
ALH29	LA	Study1
ALH3	LA	Study1
ALH30	LA	Study1
ALH31	LA	Study1
ALH32	LA	Study1
ALH33	LA	Study1
ALH34	LA	Study1
ALH35	LA	Study1
ALH36	LA	Study1
ALH37	LA	Study1
ALH38	LA	Study1
ALH39	LA	Study1
ALH4	LA	Study1
ALH40	LA	Study1
ALH41	LA	Study1
ALH42	LA	Study1
ALH43	LA	Study1
ALH44	LA	Study1
ALH45	LA	Study1
ALH46	LA	Study1
ALH47	LA	Study1
ALH48	LA	Study1
ALH49	LA	Study1
ALH5	LA	Study1
ALH50	LA	Study1
ALH51	LA	Study1
ALH52	LA	Study1
ALH53	LA	Study1
ALH54	LA	Study1
ALH55	LA	Study1
ALH56	LA	Study1
ALH57	LA	Study1
ALH58	LA	Study1
ALH59	LA	Study1
ALH6	LA	Study1
ALH60	LA	Study1
ALH61	LA	Study1
ALH62	LA	Study1
ALH63	LA	Study1
ALH64	LA	Study1
ALH65	LA	Study1
ALH66	LA	Study1
ALH67	LA	Study1
ALH68	LA	Study1
ALH69	LA	Study1
ALH7	LA	Study1
ALH70	LA	Study1
ALH71	LA	Study1
ALH72	LA	Study1
ALH73	LA	Study1
ALH74	LA	Study1
ALH75	LA	Study1
ALH76	LA	Study1
ALH77	LA	Study1
ALH78	LA	Study1
ALH79	LA	Study1
ALH8	LA	Study1
ALH80	LA	Study1
ALH81	LA	Study1
ALH82	LA	Study1
ALH83	LA	Study1
ALH84	LA	Study1
ALH85	LA	Study1
ALH86	LA	Study1
ALH87	LA	Study1
ALH88	LA	Study1
ALH89	LA	Study1
ALH9	LA	Study1
ALH90	LA	Study1
ALH91	LA	Study1
ALH92	LA	Study1
ALH93	LA	Study1
ALH94	LA	Study1
ALH95	LA	Study1
ALH96	LA	Study1
CHH1	HH	Study2
CHH10	HH	Study2
CHH11	HH	Study2
CHH12	HH	Study2
CHH13	HH	Study2
CHH14	HH	Study2
CHH15	HH	Study2
CHH16	HH	Study2
CHH17	HH	Study2
CHH18	HH	Study2
CHH19	HH	Study2
CHH2	HH	Study2
CHH20	HH	Study2
CHH3	HH	Study2
CHH4	HH	Study2
CHH5	HH	Study2
CHH6	HH	Study2
CHH7	HH	Study2
CHH8	HH	Study2
CHH9	HH	Study2
CHT1	HT	Study2
CHT10	HT	Study2
CHT11	HT	Study2
CHT12	HT	Study2
CHT13	HT	Study2
CHT14	HT	Study2
CHT15	HT	Study2
CHT16	HT	Study2
CHT17	HT	Study2
CHT18	HT	Study2
CHT19	HT	Study2
CHT2	HT	Study2
CHT20	HT	Study2
CHT3	HT	Study2
CHT4	HT	Study2
CHT5	HT	Study2
CHT6	HT	Study2
CHT7	HT	Study2
CHT8	HT	Study2
CHT9	HT	Study2
DHT1	HT	Study3
DHT10	HT	Study3
DHT11	HT	Study3
DHT12	HT	Study3
DHT13	HT	Study3
DHT14	HT	Study3
DHT15	HT	Study3
DHT16	HT	Study3
DHT17	HT	Study3
DHT18	HT	Study3
DHT19	HT	Study3
DHT2	HT	Study3
DHT20	HT	Study3
DHT21	HT	Study3
DHT22	HT	Study3
DHT23	HT	Study3
DHT24	HT	Study3
DHT25	HT	Study3
DHT26	HT	Study3
DHT27	HT	Study3
DHT28	HT	Study3
DHT29	HT	Study3
DHT3	HT	Study3
DHT30	HT	Study3
DHT31	HT	Study3
DHT32	HT	Study3
DHT33	HT	Study3
DHT34	HT	Study3
DHT35	HT	Study3
DHT36	HT	Study3
DHT37	HT	Study3
DHT38	HT	Study3
DHT39	HT	Study3
DHT4	HT	Study3
DHT40	HT	Study3
DHT41	HT	Study3
DHT42	HT	Study3
DHT43	HT	Study3
DHT44	HT	Study3
DHT45	HT	Study3
DHT46	HT	Study3
DHT47	HT	Study3
DHT48	HT	Study3
DHT49	HT	Study3
DHT5	HT	Study3
DHT50	HT	Study3
DHT51	HT	Study3
DHT52	HT	Study3
DHT53	HT	Study3
DHT54	HT	Study3
DHT55	HT	Study3
DHT56	HT	Study3
DHT57	HT	Study3
DHT58	HT	Study3
DHT59	HT	Study3
DHT6	HT	Study3
DHT60	HT	Study3
DHT61	HT	Study3
DHT62	HT	Study3
DHT63	HT	Study3
DHT64	HT	Study3
DHT65	HT	Study3
DHT7	HT	Study3
DHT8	HT	Study3
DHT9	HT	Study3
GLH10	LA	Study4
GLH12	LA	Study4
GLH13	LA	Study4
GLH15	LA	Study4
GLH16	LA	Study4
GLH17	LA	Study4
GLH18	LA	Study4
GLH21	LA	Study4
GLH22	LA	Study4
GLH23	LA	Study4
GLH24	LA	Study4
GLH25	LA	Study4
GLH26	LA	Study4
GLH27	LA	Study4
GLH28	LA	Study4
GLH29	LA	Study4
GLH30	LA	Study4
GLH31	LA	Study4
GLH32	LA	Study4
GLH33	LA	Study4
GLH34	LA	Study4
GLH35	LA	Study4
GLH36	LA	Study4
GLH37	LA	Study4
GLH38	LA	Study4
GLH39	LA	Study4
GLH40	LA	Study4
GLH41	LA	Study4
GLH43	LA	Study4
GLH44	LA	Study4
GLH45	LA	Study4
GLH46	LA	Study4
GLH47	LA	Study4
GLH48	LA	Study4
GLH49	LA	Study4
GLH50	LA	Study4
GLH51	LA	Study4
GLH52	LA	Study4
GLH53	LA	Study4
GLH55	LA	Study4
GLH56	LA	Study4
GLH57	LA	Study4
GLH58	LA	Study4
GLH59	LA	Study4
GLH61	LA	Study4
GLH62	LA	Study4
GLH63	LA	Study4
GLH64	LA	Study4
GLH65	LA	Study4
GLH66	LA	Study4
GLH68	LA	Study4
GLH69	LA	Study4
GLH7	LA	Study4
GLH71	LA	Study4
GLH73	LA	Study4
GLH74	LA	Study4
GLH76	LA	Study4
GLH77	LA	Study4
GLH79	LA	Study4
GLH8	LA	Study4
GLH80	LA	Study4
GLH81	LA	Study4
GLH82	LA	Study4
GLH84	LA	Study4
GLH85	LA	Study4
GLH87	LA	Study4
GLH88	LA	Study4
GLH89	LA	Study4
GLH90	LA	Study4
GLH91	LA	Study4
GLH92	LA	Study4
GLH94	LA	Study4
GLH95	LA	Study4
HHH1	HH	Study5
HHH10	HH	Study5
HHH11	HH	Study5
HHH12	HH	Study5
HHH13	HH	Study5
HHH14	HH	Study5
HHH15	HH	Study5
HHH16	HH	Study5
HHH17	HH	Study5
HHH18	HH	Study5
HHH19	HH	Study5
HHH2	HH	Study5
HHH20	HH	Study5
HHH21	HH	Study5
HHH22	HH	Study5
HHH23	HH	Study5
HHH24	HH	Study5
HHH25	HH	Study5
HHH26	HH	Study5
HHH27	HH	Study5
HHH28	HH	Study5
HHH29	HH	Study5
HHH3	HH	Study5
HHH30	HH	Study5
HHH31	HH	Study5
HHH32	HH	Study5
HHH33	HH	Study5
HHH34	HH	Study5
HHH35	HH	Study5
HHH4	HH	Study5
HHH5	HH	Study5
HHH6	HH	Study5
HHH7	HH	Study5
HHH8	HH	Study5
HHH9	HH	Study5
HHT1	HT	Study5
HHT10	HT	Study5
HHT11	HT	Study5
HHT12	HT	Study5
HHT13	HT	Study5
HHT14	HT	Study5
HHT15	HT	Study5
HHT16	HT	Study5
HHT17	HT	Study5
HHT18	HT	Study5
HHT19	HT	Study5
HHT2	HT	Study5
HHT20	HT	Study5
HHT21	HT	Study5
HHT22	HT	Study5
HHT23	HT	Study5
HHT24	HT	Study5
HHT25	HT	Study5
HHT26	HT	Study5
HHT27	HT	Study5
HHT28	HT	Study5
HHT29	HT	Study5
HHT3	HT	Study5
HHT30	HT	Study5
HHT31	HT	Study5
HHT32	HT	Study5
HHT33	HT	Study5
HHT34	HT	Study5
HHT4	HT	Study5
HHT5	HT	Study5
HHT6	HT	Study5
HHT7	HT	Study5
HHT8	HT	Study5
HHT9	HT	Study5
HLH1	LA	Study5
HLH10	LA	Study5
HLH11	LA	Study5
HLH12	LA	Study5
HLH13	LA	Study5
HLH14	LA	Study5
HLH15	LA	Study5
HLH16	LA	Study5
HLH17	LA	Study5
HLH18	LA	Study5
HLH19	LA	Study5
HLH2	LA	Study5
HLH20	LA	Study5
HLH21	LA	Study5
HLH22	LA	Study5
HLH23	LA	Study5
HLH24	LA	Study5
HLH25	LA	Study5
HLH26	LA	Study5
HLH27	LA	Study5
HLH28	LA	Study5
HLH29	LA	Study5
HLH3	LA	Study5
HLH30	LA	Study5
HLH31	LA	Study5
HLH32	LA	Study5
HLH33	LA	Study5
HLH34	LA	Study5
HLH35	LA	Study5
HLH4	LA	Study5
HLH5	LA	Study5
HLH6	LA	Study5
HLH7	LA	Study5
HLH8	LA	Study5
HLH9	LA	Study5
IHT1	HT	Study6
IHT10	HT	Study6
IHT11	HT	Study6
IHT12	HT	Study6
IHT13	HT	Study6
IHT14	HT	Study6
IHT15	HT	Study6
IHT16	HT	Study6
IHT17	HT	Study6
IHT18	HT	Study6
IHT19	HT	Study6
IHT2	HT	Study6
IHT20	HT	Study6
IHT21	HT	Study6
IHT22	HT	Study6
IHT23	HT	Study6
IHT24	HT	Study6
IHT25	HT	Study6
IHT26	HT	Study6
IHT27	HT	Study6
IHT28	HT	Study6
IHT29	HT	Study6
IHT3	HT	Study6
IHT30	HT	Study6
IHT4	HT	Study6
IHT5	HT	Study6
IHT6	HT	Study6
IHT7	HT	Study6
IHT8	HT	Study6
IHT9	HT	Study6
ILH1	LA	Study6
ILH10	LA	Study6
ILH11	LA	Study6
ILH12	LA	Study6
ILH13	LA	Study6
ILH14	LA	Study6
ILH15	LA	Study6
ILH16	LA	Study6
ILH17	LA	Study6
ILH18	LA	Study6
ILH19	LA	Study6
ILH2	LA	Study6
ILH20	LA	Study6
ILH21	LA	Study6
ILH24	LA	Study6
ILH25	LA	Study6
ILH26	LA	Study6
ILH27	LA	Study6
ILH28	LA	Study6
ILH29	LA	Study6
ILH3	LA	Study6
ILH30	LA	Study6
ILH31	LA	Study6
ILH33	LA	Study6
ILH34	LA	Study6
ILH35	LA	Study6
ILH36	LA	Study6
ILH37	LA	Study6
ILH38	LA	Study6
ILH39	LA	Study6
ILH4	LA	Study6
ILH40	LA	Study6
ILH42	LA	Study6
ILH43	LA	Study6
ILH5	LA	Study6
ILH6	LA	Study6
ILH7	LA	Study6
ILH8	LA	Study6
ILH9	LA	Study6
ILT1	LT	Study6
ILT10	LT	Study6
ILT11	LT	Study6
ILT12	LT	Study6
ILT13	LT	Study6
ILT14	LT	Study6
ILT15	LT	Study6
ILT16	LT	Study6
ILT17	LT	Study6
ILT18	LT	Study6
ILT19	LT	Study6
ILT2	LT	Study6
ILT20	LT	Study6
ILT21	LT	Study6
ILT22	LT	Study6
ILT23	LT	Study6
ILT24	LT	Study6
ILT25	LT	Study6
ILT26	LT	Study6
ILT27	LT	Study6
ILT28	LT	Study6
ILT29	LT	Study6
ILT30	LT	Study6
ILT31	LT	Study6
ILT32	LT	Study6
ILT33	LT	Study6
ILT34	LT	Study6
ILT35	LT	Study6
ILT36	LT	Study6
ILT37	LT	Study6
ILT38	LT	Study6
ILT39	LT	Study6
ILT4	LT	Study6
ILT40	LT	Study6
ILT41	LT	Study6
ILT42	LT	Study6
ILT43	LT	Study6
ILT44	LT	Study6
ILT45	LT	Study6
ILT46	LT	Study6
ILT47	LT	Study6
ILT48	LT	Study6
ILT49	LT	Study6
ILT5	LT	Study6
ILT50	LT	Study6
ILT51	LT	Study6
ILT52	LT	Study6
ILT53	LT	Study6
ILT54	LT	Study6
ILT55	LT	Study6
ILT56	LT	Study6
ILT57	LT	Study6
ILT58	LT	Study6
ILT59	LT	Study6
ILT6	LT	Study6
ILT60	LT	Study6
ILT7	LT	Study6
ILT8	LT	Study6
ILT9	LT	Study6
